Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/span_Filter_chakra-radio__control css-vtg3j9""))",Chrome 114.0.0.0,,,2023-07-12 16:43:10,2023-07-12 16:43:11,0.485s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-07-12 16:43:11,2023-07-12 16:43:16,5.007s,PASSED
"setText(findTestObject(""Searching1/Page_Vite  React  TS/input_Minhhonag_chakra-input css-1pdm0hx (1)""), "" Chung Cake is a traditional cake of Vietnam. The cake implies gratitude of later generations to their forefather and hometown. Ingredients of Chung Cake include sticky rice, green bean, pork, dong leaves, and other additional spices as salt and pepper. Chung Cake is often made on traditional Tet Holiday of Vietnamese people and Hung King Festival (on the 10th day of the third lunar month). Chung Cake has the oldest history in traditional Vietnam cuisine. It is mentioned regularly in historical documents. The traditional cake has a significant position in the heart of Vietnamese people. The cake originated from a legend relating to Lang Lieu Prince, son of the 6th Hung King. The legend recalls the next generation about the national tradition. It is also a meaningful explanation and origin "")",Chrome 114.0.0.0,,,2023-07-12 16:43:16,2023-07-12 16:43:18,1.869s,PASSED
"verifyElementText(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/ErrosTooMuchCharacter""), ""Too many characters, Enter major again"")",Chrome 114.0.0.0,,,2023-07-12 16:43:18,2023-07-12 16:43:20,2.084s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-07-12 16:43:20,2023-07-12 16:43:25,5.005s,PASSED
"setText(findTestObject(""Searching1/Page_Vite  React  TS/input_Minhhonag_chakra-input css-1pdm0hx (1)""), "" Cá nục Lào"")",Chrome 114.0.0.0,,,2023-07-12 16:43:25,2023-07-12 16:43:26,0.782s,PASSED
"verifyElementText(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/ErrosSearchMessage""), ""There is no result found with keyword: Cá nục Lào"")",Chrome 114.0.0.0,,,2023-07-12 16:43:26,2023-07-12 16:43:30,4.834s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-07-12 16:43:30,2023-07-12 16:43:36,5.012s,PASSED
"setText(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/input_Minhhonag_chakra-input css-1pdm0hx""), ""' or 1=1--"")",Chrome 114.0.0.0,,,2023-07-12 16:43:36,2023-07-12 16:43:36,0.743s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/div_Local specialtys areasThe best offer th_178a87""))",Chrome 114.0.0.0,,,2023-07-12 16:43:36,2023-07-12 16:43:37,0.423s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-07-12 16:43:37,2023-07-12 16:43:42,5.018s,PASSED
"verifyElementText(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/p_There is no result found with keyword  or 11--""), ""There is no result found with keyword: ' or 1=1--"")",Chrome 114.0.0.0,,,2023-07-12 16:43:42,2023-07-12 16:43:42,0.356s,PASSED
